text,stress_level
I can't handle the unease from school anymore. My anxiety is through the roof.,high
Taking time to deep breathing exercises has made me feel joyful.,low
"Some overwhelmed situations at the store, but I'll get through it.",medium
Had a positive day at work. Finding joy in simple pleasures.,low
"A bit exhausted about finances, but trying to stay positive.",medium
I'm dealing with some nervous issues with relationships.,medium
I feel absolutely restless about everything related to deadlines.,high
I feel absolutely irritated about everything related to my living situation.,high
"Things are somewhat agitated with the future, but not too bad.",medium
Finding joy in simple pleasures. I feel energized about everything.,low
