text,stress_level,cleaned_text,tokens,vader_scores,stress_keywords_found
I can't handle the unease from school anymore. My anxiety is through the roof.,high,i cant handle the unease from school anymore my anxiety is through the roof,"['cant', 'handle', 'unease', 'school', 'anymore', 'anxiety', 'roof']","{'neg': 0.114, 'neu': 0.735, 'pos': 0.151, 'compound': 0.1426}","{'high': 1, 'medium': 0, 'low': 0}"
Taking time to deep breathing exercises has made me feel joyful.,high,taking time to deep breathing exercises has made me feel joyful,"['taking', 'time', 'deep', 'breathing', 'exercise', 'made', 'feel', 'joyful']","{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.5994}","{'high': 0, 'medium': 0, 'low': 0}"
"Some overwhelmed situations at the store, but I'll get through it.",high,some overwhelmed situations at the store but ill get through it,"['overwhelmed', 'situation', 'store', 'ill', 'get']","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.0258}","{'high': 1, 'medium': 0, 'low': 0}"
Had a positive day at work. Finding joy in simple pleasures.,high,had a positive day at work finding joy in simple pleasures,"['positive', 'day', 'work', 'finding', 'joy', 'simple', 'pleasure']","{'neg': 0.0, 'neu': 0.405, 'pos': 0.595, 'compound': 0.8834}","{'high': 0, 'medium': 0, 'low': 0}"
"A bit exhausted about finances, but trying to stay positive.",medium,a bit exhausted about finances but trying to stay positive,"['bit', 'exhausted', 'finance', 'trying', 'stay', 'positive']","{'neg': 0.128, 'neu': 0.513, 'pos': 0.359, 'compound': 0.631}","{'high': 1, 'medium': 0, 'low': 0}"
I'm dealing with some nervous issues with relationships.,high,im dealing with some nervous issues with relationships,"['im', 'dealing', 'nervous', 'issue', 'relationship']","{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.2732}","{'high': 0, 'medium': 1, 'low': 0}"
I feel absolutely restless about everything related to deadlines.,low,i feel absolutely restless about everything related to deadlines,"['feel', 'absolutely', 'restless', 'everything', 'related', 'deadline']","{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.3384}","{'high': 0, 'medium': 0, 'low': 0}"
I feel absolutely irritated about everything related to my living situation.,low,i feel absolutely irritated about everything related to my living situation,"['feel', 'absolutely', 'irritated', 'everything', 'related', 'living', 'situation']","{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.5095}","{'high': 0, 'medium': 0, 'low': 0}"
"Things are somewhat agitated with the future, but not too bad.",high,things are somewhat agitated with the future but not too bad,"['thing', 'somewhat', 'agitated', 'future', 'bad']","{'neg': 0.127, 'neu': 0.615, 'pos': 0.258, 'compound': 0.4444}","{'high': 0, 'medium': 0, 'low': 0}"
Finding joy in simple pleasures. I feel energized about everything.,high,finding joy in simple pleasures i feel energized about everything,"['finding', 'joy', 'simple', 'pleasure', 'feel', 'energized', 'everything']","{'neg': 0.0, 'neu': 0.375, 'pos': 0.625, 'compound': 0.875}","{'high': 0, 'medium': 0, 'low': 0}"
